Filename,MFS 0,MFS 1,MFS 2,MFS 3,MFS 4,MFS 5,MFS 6,MFS 7,MFS 8,MFS 9,MFS 10,MFS 11,MFS 12,MFS 13,MFS 14,MFS 15,MFS 16,MFS 17,MFS 18,MFS 19
BA19_120_3Slices,0.5607101372,0.5259167484,0.6731791762,1.1345571082,1.5111061166,1.8508451972,2.0851335121,2.2344158232,2.8199711667,2.3074626522,2.2678758784,2.2001846089,2.1153510333,2.0114936847,1.9031643483,1.782029859,1.6611977729,1.528939028,1.4145708639,1.4117117511
BA20_120_1Slices,0.9112792433,0.9721760752,1.2265981552,1.4915896548,1.7447522694,1.9532228563,2.1073037078,2.2137174359,2.7591619187,2.2963880971,2.2816783782,2.2343348612,2.1543875511,2.04366568,1.9133349014,1.7549579462,1.5904900978,1.4153227395,1.265323203,1.2177116976
BA20_120_2Slices,0.5775183478,0.7071339022,1.013405937,1.3382140973,1.6126072099,1.8415921752,2.0050647391,2.1103597321,2.6821000546,2.1835199468,2.1696183136,2.1233523694,2.0477904534,1.9406603733,1.8141320012,1.6476639824,1.4713134151,1.2859060658,1.1210827229,1.0717977657
BA21_120_1Slices,1.0735712189,0.9940254144,1.2033068776,1.4621735812,1.7072738631,1.9301252674,2.1029102411,2.2201897715,2.7422799769,2.3085377771,2.2903763484,2.2345940283,2.1463409049,2.0319588237,1.9040283362,1.7595717065,1.6136729586,1.4669748379,1.3075183043,1.2912312426
BA21_120_2Slices,0.4579773461,0.776119005,1.0958870373,1.422907189,1.7109491057,1.9543869192,2.1442733237,2.2689923447,2.7228329852,2.3558524755,2.3328139029,2.2755978235,2.1852001998,2.0701928711,1.9390978906,1.7846389426,1.6234555375,1.4625117134,1.3255581117,1.388644823
BA22_120_1Slices,0.6799676112,0.9810796127,1.2809869833,1.5546903407,1.7832539067,1.9762571416,2.1225723525,2.2286225737,2.8298855973,2.3172614742,2.3062845093,2.2602640726,2.181868375,2.0652449448,1.9236918874,1.7460377602,1.5369192048,1.3101255357,1.0798905355,1.0335985997
BA22_120_2Slices,0.5144819703,0.9890532789,1.3273207752,1.6125114823,1.8468623581,2.0331482601,2.17170007,2.2594789087,2.8091607007,2.3310423104,2.3139061993,2.2627979109,2.1803723909,2.0695610456,1.9235306563,1.7604678873,1.5580366722,1.3307742472,1.1056716175,0.8610398554
BA22_120_3Slices,0.4951975787,0.8478045088,1.2196681456,1.5474838206,1.802598115,2.0125258292,2.1628700231,2.2670763674,2.775418544,2.3500460865,2.3386114176,2.2917890774,2.2135653716,2.0981325309,1.9651611806,1.7959099587,1.6071203053,1.382280344,1.154200436,0.9623393732
BA22_120_4Slices,0.8860721687,1.1183382224,1.3653621829,1.6111563043,1.8270781623,2.0206263515,2.1693559067,2.2745919544,2.7678493582,2.3604312658,2.3482958033,2.3018265841,2.2227304973,2.110176025,1.9768846317,1.8179235316,1.6362343391,1.43627933,1.2341651621,1.0918297221
BA23_120_1Slices,0.693195364,1.0393724348,1.3605258729,1.6595355665,1.8860860469,2.0615835026,2.1786813156,2.2531310444,2.797711988,2.2823949065,2.2468017193,2.1833051233,2.0885411119,1.9762322463,1.8399854027,1.6783692398,1.5303262817,1.37172566,1.207824029,1.1582836092
BA23_120_2Slices,0.5477527418,0.8147097645,1.1522308881,1.4558605957,1.7192634704,1.9375527612,2.1034929873,2.2200179465,2.7580084768,2.3098938069,2.2918553307,2.238675748,2.1502617457,2.0283483269,1.8944278358,1.7482962609,1.5934705656,1.4283000482,1.2888336924,1.2542592395
BA23_120_3Slices,1.0357376445,0.8707634458,1.1250915096,1.4065568071,1.6822697024,1.9254596916,2.1045532512,2.2212363462,2.7342367349,2.306956049,2.2886707645,2.2317277801,2.1438308871,2.0298305171,1.8971204431,1.751560954,1.6144282036,1.4677563224,1.33472682,1.2662999574
BA23_120_4Slices,0.3759629004,0.9164147094,1.219183249,1.5061485879,1.7534833019,1.9419749297,2.0970586595,2.2075893961,2.7181561987,2.2981046755,2.2771419175,2.2245418168,2.137285433,2.0239087416,1.8941453218,1.747659991,1.588837069,1.437832147,1.276582608,1.2842028845
BA24_120_2Slices,0.499806004,0.8331792158,1.191010079,1.5325914899,1.7954514152,2.0036845927,2.1604995354,2.2632616986,2.8106168791,2.3215858862,2.2872395626,2.208960059,2.1057043145,1.9816856329,1.8435939864,1.7077633609,1.584752373,1.4856559272,1.3808921709,1.464250265
BA24_120_3Slices,0.4501273637,0.7193397626,1.1646470007,1.5039776544,1.8018071259,2.0183979014,2.1759239692,2.2593830319,2.7901149106,2.2803156514,2.2179364312,2.1292809509,2.0101079198,1.8888663756,1.7796662702,1.6762089848,1.5877281246,1.496575429,1.4016997434,1.4938242441
BA24_120_4Slices,1.2903052231,1.0231970668,1.0772701922,1.2603528024,1.5305851611,1.8182879002,2.0441231539,2.196901721,2.7976532952,2.302090655,2.2747865786,2.2037802529,2.0978088878,1.9657146969,1.8320306227,1.6936775337,1.5767258776,1.4636203855,1.3615898564,1.3970501739
BA25_120_1Slices,0.2978598839,0.6257904635,1.1166539788,1.5107353511,1.8331644475,2.0750523392,2.2408015978,2.3376505458,2.8114040693,2.3677516964,2.328672023,2.2623510701,2.1751976976,2.0700755672,1.9495000669,1.8236813967,1.685625778,1.5488915061,1.4074159338,1.3511220757
BA25_120_2Slices,0.6539861504,1.0805334593,1.4996163052,1.8380459711,2.0679331252,2.2255132102,2.3171934693,2.7987667646,2.345169291,2.3163251195,2.2595645014,2.1860616169,2.0978844936,1.9879797845,1.8731145497,1.7598958319,1.6363641105,1.5049162825,1.3792293462,1.3673422895
BA25_120_3Slices,0.5186678338,0.5406106696,0.9044041357,1.2600619335,1.6231531872,1.9077897869,2.1255143128,2.2643311917,2.8049433779,2.3477875983,2.3162645378,2.2481567699,2.1534217111,2.0388743129,1.9212448154,1.794683793,1.6616874012,1.5357953579,1.4228288731,1.4306236852
BA26_120_3Slices,0.3247139387,0.6702278248,1.013068798,1.3494460788,1.6550975153,1.9165630602,2.1235584472,2.2525398428,2.8005607129,2.3306181883,2.2928155088,2.2222225548,2.1278764016,2.0128124295,1.8924944326,1.7705886229,1.640934356,1.5170305718,1.378642135,1.4577564074
BA27_120_1Slices,1.5133502128,1.2179845254,1.2782023261,1.3605017287,1.5409550633,1.7906835244,2.0306352206,2.2067915685,2.7910566417,2.3475708192,2.3215834389,2.2503397618,2.1329088135,1.9832356244,1.8253075496,1.6617413082,1.5272576636,1.4178905934,1.3426872306,1.4126043356
BA27_120_2Slices,1.4756568776,1.1949473652,1.2657743956,1.3734773015,1.5937410514,1.8359379911,2.0474758948,2.1984618411,2.8115535963,2.3186891848,2.3037684395,2.2468093143,2.1484852161,2.0105558851,1.8500619179,1.6550630049,1.4493590729,1.2498092684,1.0827486647,0.9676688703
BA27_120_3Slices,1.2672697658,0.9862132862,1.1225090683,1.3246185418,1.5810621094,1.8342934654,2.030123705,2.1635288244,2.7772547944,2.257404275,2.2375823233,2.1797474515,2.0914713982,1.9749723258,1.8384964974,1.6857440928,1.5076722757,1.3333935726,1.1498869463,1.1005655345
BA28_120_1Slices,0.3142371191,0.7427311021,1.0837175713,1.4231269518,1.7658603187,2.0384023501,2.2228655542,2.3152083483,2.7536593502,2.3192547747,2.273555492,2.2101825219,2.1273894362,2.0364976866,1.9241868654,1.8040307889,1.668567381,1.5283283633,1.3827500619,1.3218058332
